 load, slew_d, slew_clk, process, voltage, temperature, skew_d, setup_skew, hold_skew, ckq_delay, D, Q, D_Q_comparision
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,125.0,-2e-11,7e-11,1.43e-10,1.508263e-10,1.000000e+00,9.999999e-01,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,125.0,-1e-11,6e-11,1.53e-10,1.538582e-10,1.000000e+00,9.999999e-01,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,125.0,0.0,5e-11,1.63e-10,1.621832e-10,1.000000e+00,9.999999e-01,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,125.0,1e-11,4e-11,1.73e-10,0,1.000000e+00,2.203431e-04,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.000000,125.0,2e-11,3e-11,1.83e-10,0,1.000000e+00,1.055419e-04,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,0.0,-3e-11,8e-11,1.35e-10,5.116804e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,0.0,-2e-11,7e-11,1.45e-10,5.116885e-11,1.400000e+00,1.400004e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,0.0,-1e-11,6e-11,1.55e-10,5.116978e-11,1.400000e+00,1.400004e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,0.0,0.0,5e-11,1.65e-10,5.115963e-11,1.400000e+00,1.400005e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,0.0,1e-11,4e-11,1.75e-10,5.116512e-11,1.400000e+00,1.400017e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,0.0,2e-11,3e-11,1.85e-10,5.125856e-11,1.400000e+00,1.400014e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,125.0,-3e-11,8e-11,1.35e-10,7.292902e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,125.0,-2e-11,7e-11,1.45e-10,7.293204e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,125.0,-1e-11,6e-11,1.55e-10,7.294137e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,125.0,0.0,5e-11,1.65e-10,7.303888e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,125.0,1e-11,4e-11,1.75e-10,7.358521e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,fs,1.400000,125.0,2e-11,3e-11,1.85e-10,7.594769e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,0.0,-3e-11,8.7e-11,1.26e-10,1.054026e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,0.0,-2e-11,7.7e-11,1.36e-10,1.054731e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,0.0,-1e-11,6.7e-11,1.46e-10,1.054798e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,0.0,0.0,5.7e-11,1.56e-10,1.055513e-10,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,0.0,1e-11,4.7e-11,1.66e-10,1.058576e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,0.0,2e-11,3.7e-11,1.76e-10,1.065415e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,125.0,-3e-11,8.7e-11,1.26e-10,1.526757e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,125.0,-2e-11,7.7e-11,1.36e-10,1.532149e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,125.0,-1e-11,6.7e-11,1.46e-10,1.541916e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,125.0,0.0,5.7e-11,1.56e-10,1.565964e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,125.0,1e-11,4.7e-11,1.66e-10,1.642638e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.000000,125.0,2e-11,3.7e-11,1.76e-10,0,1.000000e+00,1.932367e-04,mismatch 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,0.0,-3e-11,8.5e-11,1.3e-10,5.961354e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,0.0,-2e-11,7.5e-11,1.4e-10,5.959982e-11,1.400000e+00,1.400001e+00,match 
